"longitude","laitude","rescore"
-178.325,28.375,-0.12270640250385
-178.275,28.375,-0.124571986897772
-176.625,28.375,-0.159536823424331
33.075,28.375,-0.0793310422332258
33.125,28.375,-0.0881086931509819
33.425,28.375,-0.15149357282656
34.725,28.375,-0.0562479389859904
129.225,28.375,-0.256843041079116
129.275,28.375,-0.244250362623074
129.325,28.375,-0.22655584222133
129.375,28.375,-0.215342491236162
129.625,28.375,-0.215543567830992
129.675,28.375,-0.220433177380839
129.925,28.375,-0.231068314413467
129.975,28.375,-0.226883811636201
130.025,28.375,-0.221409992367492
130.075,28.375,-0.219491606605812
33.125,28.325,-0.0897516874330511
33.325,28.325,-0.132013983937262
33.425,28.325,-0.153232522072342
33.475,28.325,-0.163748366236452
34.425,28.325,-0.14724173069269
34.675,28.325,-0.0793701118272813
34.725,28.325,-0.0724723822042637
129.175,28.325,-0.278964879953759
129.225,28.325,-0.265105673242697
129.275,28.325,-0.252296248314499
129.575,28.325,-0.207606929586969
129.625,28.325,-0.210276975912626
129.675,28.325,-0.213637096354977
129.875,28.325,-0.222334083627072
129.925,28.325,-0.22052264258694
129.975,28.325,-0.220403206217964
130.025,28.325,-0.22216000584429
130.075,28.325,-0.221769992871358
-177.425,28.275,-0.122125069435013
-177.375,28.275,-0.123971923520065
-177.325,28.275,-0.127913061363769
33.125,28.275,-0.0924107232346621
33.175,28.275,-0.103294068140162
33.325,28.275,-0.138791384503965
33.375,28.275,-0.146427403108893
33.425,28.275,-0.153993025477927
33.575,28.275,-0.167046490019237
34.425,28.275,-0.151465071978801
34.675,28.275,-0.0814927222330419
129.125,28.275,-0.281550780315963
129.175,28.275,-0.277258988279262
129.525,28.275,-0.203173283466067
129.575,28.275,-0.210576799682376
129.875,28.275,-0.213512739584515
129.925,28.275,-0.2131213898209
129.975,28.275,-0.218076537397597
130.025,28.275,-0.21890435000376
-177.425,28.225,-0.115588790460888
-177.375,28.225,-0.115120185136878
-177.325,28.225,-0.11689271057679
-177.275,28.225,-0.123864812605186
33.175,28.225,-0.101093982018885
33.225,28.225,-0.111809161826144
33.275,28.225,-0.127663510138167
33.375,28.225,-0.148910391787133
33.425,28.225,-0.158009139774985
33.475,28.225,-0.165868340312589
33.575,28.225,-0.163319886645862
34.425,28.225,-0.146682942216764
34.625,28.225,-0.0875926459689857
34.675,28.225,-0.0778193312992909
129.125,28.225,-0.272017265518156
129.175,28.225,-0.273762936591417
129.525,28.225,-0.217937294374551
129.975,28.225,-0.214351742283852
130.075,28.225,-0.218160866725556
-177.425,28.175,-0.10858773275498
-177.375,28.175,-0.108808505395171
-177.325,28.175,-0.113601509957951
33.225,28.175,-0.105785404284514
33.275,28.175,-0.11738442467146
33.425,28.175,-0.157298890837514
33.475,28.175,-0.164922447022761
33.525,28.175,-0.164496280122092
33.575,28.175,-0.15978688003101
33.625,28.175,-0.154483194561997
34.425,28.175,-0.141430191753319
34.475,28.175,-0.12852991598723
34.575,28.175,-0.0946617938172896
34.625,28.175,-0.0779752756185378
34.675,28.175,-0.0675884560539349
129.125,28.175,-0.255635109863074
129.175,28.175,-0.254583252589277
129.425,28.175,-0.227342664016128
129.475,28.175,-0.225708211149762
129.525,28.175,-0.22553549371353
33.275,28.125,-0.10697488985491
33.325,28.125,-0.119231372269216
33.625,28.125,-0.158640498436908
33.675,28.125,-0.162197039880717
34.475,28.125,-0.114874971919509
